,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
702,"Tsibliyev, Vasili",14,4721.0,1990,1993,male,1954,U.S.S.R/Russia,2,9159.87
703,"Tsibliyev, Vasili",23,4438.0,1990,1997,male,1954,U.S.S.R/Russia,2,9159.87
704,"Haigneré, Jean-Pierre",Soyuz TM-17 / Soyuz TM-16,496.0,1990,1993,male,1948,France,2,5028.0
705,"Haigneré, Jean-Pierre",27,4532.0,1990,1999,male,1948,France,2,5028.0
706,"Newman, James H.",STS-51,236.0,1990,1993,male,1956,U.S.,4,1032.0
707,"Newman, James H.",STS-69,260.0,1990,1995,male,1956,U.S.,4,1032.0
708,"Newman, James H.",STS-88,283.0,1990,1998,male,1956,U.S.,4,1032.0
709,"Newman, James H.",STS-109,262.0,2000,2002,male,1956,U.S.,4,1032.0
710,"Bursch, Daniel W.",STS-51,236.0,1990,1993,male,1957,U.S.,4,5448.0
711,"Bursch, Daniel W.",STS-68,169.0,1990,1994,male,1957,U.S.,4,5448.0
712,"Bursch, Daniel W.",STS-77,241.0,1990,1996,male,1957,U.S.,4,5448.0
713,"Bursch, Daniel W.",4,4802.0,2000,2001,male,1957,U.S.,4,5448.0
714,"Walz, Carl E.",STS-51,236.18,1990,1993,male,1955,U.S.,4,5533.06
715,"Walz, Carl E.",STS-65,360.0,1990,1994,male,1955,U.S.,4,5533.06
716,"Walz, Carl E.",STS-79,243.0,1990,1996,male,1955,U.S.,4,5533.06
717,"Walz, Carl E.",4,4704.0,2000,2001,male,1955,U.S.,4,5533.06
718,"Searfoss, Richard A.",STS-58,338.0,1990,1993,male,1956,U.S.,3,938.0
719,"Searfoss, Richard A.",STS-76,216.0,1990,1996,male,1956,U.S.,3,938.0
720,"Searfoss, Richard A.",STS-90,384.0,1990,1998,male,1956,U.S.,3,938.0
721,"McArthur, William S., Jr.",STS-58,336.0,1990,1993,male,1951,U.S.,4,5396.0
722,"McArthur, William S., Jr.",STS-74,196.0,1990,1995,male,1951,U.S.,4,5396.0
723,"McArthur, William S., Jr.",STS-92,309.0,2000,2000,male,1951,U.S.,4,5396.0
724,"McArthur, William S., Jr.",12,4555.0,2000,2006,male,1951,U.S.,4,5396.0
725,"Wolf, David A.",STS-58,336.0,1990,1993,male,1956,U.S.,4,4040.95
726,"Wolf, David A.",24,3072.0,1990,1997,male,1956,U.S.,4,4040.95
727,"Wolf, David A.",STS-112,259.0,2000,2002,male,1956,U.S.,4,4040.95
728,"Wolf, David A.",STS-127,376.0,2000,2009,male,1956,U.S.,4,4040.95
729,"Fettman, Martin Joseph",STS-58,336.47,1990,1993,male,1956,U.S.,1,336.47
